"id","schema","name","aliases","birth_date","countries","addresses","identifiers","sanctions","phones","emails","program_ids","dataset","first_seen","last_seen","last_change"
"wbdeb-1071235","LegalEntity","PRICEWATERHOUSECOOPERS LIMITED, KENYA","","","ke","PWC TOWER, DELTA CORNER, WAIYAKI WAY/CHIROMO ROAD, WESTLANDS, NAIROBI, Kenya","","Collusive Practices - 2026-03-17 - 2027-12-16","","","","WorldBank Debarred Providers","2026-03-18T15:03:02","2026-03-23T15:03:02","2026-03-18T15:03:02"
"wbdeb-1071241","LegalEntity","PRICEWATERHOUSECOOPERS RWANDA LIMITED","","","rw","5TH FLOOR, BLUE STAR HOUSE, KACYIRU, KIGALI, Rwanda","","Collusive Practices - 2026-03-17 - 2027-12-16","","","","WorldBank Debarred Providers","2026-03-18T15:03:02","2026-03-23T15:03:02","2026-03-18T15:03:02"
"wbdeb-1072577","LegalEntity","MR. DENIS BEJAN","","","md","3/6 STUDENTILOR STREET, 2045, CHISINAU, Moldova","","Cross Debarment: EBRD - 2026-03-23 - 2027-09-04","","","","WorldBank Debarred Providers","2026-03-23T15:03:02","2026-03-23T15:03:02","2026-03-23T15:03:02"
"wbdeb-1072578","LegalEntity","MR. MIRZA RESIC","","","ba","SKENDERPAŠINA NO. 20, 71000, SARAJEVO, Bosnia and Herzegovina","","Cross Debarment: EBRD - 2026-03-23 - 2027-09-04","","","","WorldBank Debarred Providers","2026-03-23T15:03:02","2026-03-23T15:03:02","2026-03-23T15:03:02"
"wbdeb-1072579","LegalEntity","“BLACK FOREST” D.O.O. SARAJEVO","","","ba","SKENDERPAŠINA NO. 33, 71000, SARAJEVO, Bosnia and Herzegovina","","Cross Debarment: EBRD - 2026-03-23 - 2027-09-04","","","","WorldBank Debarred Providers","2026-03-23T15:03:02","2026-03-23T15:03:02","2026-03-23T15:03:02"
"wbdeb-112840","LegalEntity","AGRIC-CANADA","","","gb","","","Procurement Guidelines 1.15(a)(i) & (ii) - 2000-02-24 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2023-04-20T12:18:15"
"wbdeb-112847","LegalEntity","ANA EXPORTS LTD.","","","gb","LONDON, United Kingdom","","Procurement Guidelines 1.15(a)(i) & (ii) - 2000-02-11 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
"wbdeb-112854","LegalEntity","CASE TECHNOLOGY","","","gb","WATFORD, HERTFORDSHIRE, United Kingdom","","Procurement Guidelines 1.15(a)(i) - 1999-06-25 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
"wbdeb-112856","LegalEntity","COLDLINE INCORPORATED","","","us","","","Procurement Guidelines 1.15(a)(i) & (ii) - 2000-02-11 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2023-04-20T12:18:15"
"wbdeb-112857","LegalEntity","CONSULTANTS FOR INTERNATIONAL DEVELOPMENT P.L.C.","","","gb","LONDON, United Kingdom","","Procurement Guidelines 1.15(a)(i) & (ii) - 2000-02-11 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
